dataset,embedding,evidence_tokens,full_evidence,graph_actions,harmful_expansions,policy,policy_latency_ms,retrieval_latency_ms,seed,support_mrr,support_ndcg,support_recall,support_recall_at_2,support_recall_at_5,total_latency_ms,total_latency_ms_p95
musique,bge-m3_latest,1125.084,0.2,2.492,2.253,relevance_gated,63.55909490166232,11119.337364496896,101,0.7264619047619048,0.5159199066062993,0.5323333333333333,0.35525,0.4704166666666667,11183.07630309579,526.6740999068132
musique,bge-m3_latest,1083.494,0.265,2.556,2.269,mrv_gated,64.075576600153,11119.337364496896,101,0.7248904761904762,0.533167632193612,0.56375,0.35525,0.49541666666666667,11183.586311898427,527.6879052515142
musique,bge-m3_latest,1073.479,0.453,0.732,0.0,oracle_upper_bound,38.21267349878326,11119.337364496896,101,0.7518666666666667,0.6453560092386197,0.715,0.35525,0.6875833333333332,11157.720550491475,500.68999483482906
musique,bge-m3_latest,944.102,0.09,0.0,0.0,bm25,0.017987699480727315,74.01482019759715,101,0.61005,0.40097181652659536,0.40325,0.27466666666666667,0.36816666666666664,74.18527360190637,107.64866515528408
musique,bge-m3_latest,1112.365,0.172,0.0,0.0,dense,0.022913700668141246,3.6199351022951305,101,0.731845238095238,0.5073428269291717,0.5160833333333333,0.3481666666666666,0.4683333333333333,3.8190320022404194,4.255079943686724
musique,bge-m3_latest,1040.306,0.145,0.0,0.0,rrf_fusion,0.020437297876924276,77.50482169771567,101,0.7270238095238095,0.500733605527206,0.5025833333333334,0.3485,0.4615833333333333,77.69142590183765,112.1334598166868
musique,qwen3-embedding_0.6b,1052.023,0.156,0.0,0.0,hybrid,0.021749303676187992,276.15275929891504,101,0.7320904761904763,0.5121983463094575,0.521,0.35525,0.47933333333333333,276.3674823024776,392.76844484265894
musique,qwen3-embedding_0.6b,1115.355,0.18,3.0,2.755,relevance_always,83.45530849788338,276.15275929891504,101,0.7213452380952381,0.508120543653926,0.5211666666666668,0.35525,0.45083333333333336,359.79009109619074,487.0937601663172
musique,qwen3-embedding_0.6b,1071.373,0.249,2.991,2.689,mrv_always,81.02705290168524,276.15275929891504,101,0.7198119047619048,0.5262878941460308,0.55575,0.35525,0.4805,357.35714939888567,482.3361350572668
musique,qwen3-embedding_0.6b,1098.181,0.185,2.628,2.387,relevance_gated,71.4976410025265,276.15275929891504,101,0.7231261904761904,0.5119570111355356,0.527,0.35525,0.4651666666666667,347.83125999895856,476.9293851451948
